"","txt","Src","Line"
"1","LMAO!! RT there are so many unhappy men at Victoria's Secret...","en_US.twitter",1
"2","kesha is a bitch too!! Dumb hoes lol Im mad yo !! She is trying to hard to be liked!! All them hoes are fake !! Shawnee too lol","en_US.twitter",2
"3","If I wasn't changing my ways I would have let him have it but since I am I'm just gone let god deal with him he know..","en_US.twitter",3
"4","Every time i dont take notes that shit ends up on the test","en_US.twitter",4
"5","Just went thru the same experience! What did we do b/4 them! Lol!","en_US.twitter",5
"6","answered! thanks for the heads up.","en_US.twitter",6
"7","We are parents who invented 123GoTV by KidExerciser that encourages exercise by using a kid's own bike to watch TV. See us on NBC4.","en_US.twitter",7
"8","Happy birthday! MT Happy Birthday to...us! The MoMA opened its doors on this day in 1929. We had 681 visitors the first day","en_US.twitter",8
"9","just checking to make sure we are properly signed up for the entire competition. Team ""ritemediagroup""","en_US.twitter",9
"10","Thank ya sir.","en_US.twitter",10
"11","Masty is starting to look like masty again.","en_US.twitter",11
"12","I need this weekend!","en_US.twitter",12
"13","#LadiesNight too, dagger! RT : Sure wish I coulda went to Vituccis tonight","en_US.twitter",13
"14","thanks:) but im not going to Tmc until Friday ...i have soccer games this whole week.","en_US.twitter",14
"15","Working the morning shift at G.Rx. Stop by and get prescribed some new tunes! ()","en_US.twitter",15
"16","Go Gemologist","en_US.twitter",16
"17","Thanks to anyone who correctly punctuated the name of this day and didn't wish me a ""happy"" one. (I mean, really...)","en_US.twitter",17
"18","Those who forget the pasta are condemned to reheat it. ~Author Unknown","en_US.twitter",18
"19","Wait but don't make me work today :(","en_US.twitter",19
"20","Take a look at yourself,","en_US.twitter",20
"21","RT : RT : OH: ""It's like an iPhone that doesn't fit in your pants.""","en_US.twitter",21
"22","the DH is having himself a game","en_US.twitter",22
"23","why? what happened to u?????","en_US.twitter",23
"24","In my rp I have plans for what Alli should say Jake... Possibly haha","en_US.twitter",24
"25","Looking white when your not <<< -_-","en_US.twitter",25
"26","When I was 5 I wanted to jump in the tv and whoop the guy that punches George Strait in pure country. 20 years later...ain't changed","en_US.twitter",26
"27","Aww, I'm gon have to come up there and visit you.","en_US.twitter",27
"28","We have a new server ready - vpn31 OpenVPN (SSL) server in San Francisco. It's available in your customer area now.","en_US.twitter",28
"29","If I had to do it all over again, I probably would have ditched the powdered wigs.","en_US.twitter",29
"30","CUT THE CHECK","en_US.twitter",30
"31","Two great vocal jams Local 802 Friday w Frank Owens at 6pm. Monday IWJ at 7pm at st Peters. Antoinettemontague.com","en_US.twitter",31
