"","word1","hit1","hit1_n","hit2","hit2_n","hit3","hit3_n","ngram_n"
"1","looks","like",1656,"good",140,"so",131,4038
"2","like","a",5414,"to",3354,"the",3304,44840
"3","fun","and",513,"to",451,"with",207,6375
"4","i'll","be",1686,"have",426,"take",228,7433
"5","be","a",6839,"the",3281,"in",2099,80509
"6","following","me",532,"the",288,"you",254,3702
"7","from","the",10592,"a",2587,"my",1664,48306
"8","even","if",1319,"though",1296,"more",824,16104
"9","if","you",12766,"i",5267,"the",1941,44421
"10","three","years",317,"of",246,"days",206,5261
"11","cups","of",97,"and",21,"in",8,390
"12","of","the",51674,"a",9777,"my",8303,259083
"13","tea","and",117,"party",115,"is",29,1129
"14","is","a",15114,"the",11180,"not",5250,161770
"15","in","the",49304,"a",14390,"my",7752,203813
"16","fact","that",1510,"i",263,"the",175,3917
"17","a","great",7175,"few",6855,"lot",6632,316164
"18","sham","or",2,"the",2,"69",1,18
"19","it","was",14036,"is",13301,"to",3060,130970
"20","makes","me",1544,"it",500,"you",470,5796
"21","you","are",8260,"can",8055,"have",7034,160732
"22","want","to",10196,"a",788,"you",431,17148
"23","to","the",27016,"be",23639,"get",10735,383719
"24","do","you",5901,"it",2721,"not",2661,38626
"25","something","to",863,"that",846,"i",596,11360
"26","so","i",6141,"much",5799,"many",2305,65885
"27","there's","a",916,"no",451,"nothing",183,3311
"28","they","are",5928,"were",3056,"have",2343,43728
"29","don't","know",2308,"have",1602,"want",1134,20869
"30","cover","the",162,"of",140,"and",131,1880
"31","projecting","a",3,"all",2,"her",2,31
"32","romney","is",40,"has",26,"and",25,629
"33","win","a",403,"the",398,"this",134,3732
"34","still","have",746,"a",524,"in",491,15472
"35","covering","the",59,"up",14,"for",13,302
"36","santorum","is",20,"and",6,"said",6,206
"37","speech","and",43,"on",33,"at",30,697
"38","hasn't","been",116,"even",22,"happened",22,550
"39","projected","above",15,"to",14,"a",4,108
"40","winner","of",178,"will",95,"is",62,1028
"41","i'm","not",2968,"going",1658,"so",1419,33601
"42","cool","and",177,"i",173,"to",158,4077
"43","person","who",495,"to",231,"in",229,4905
"44","should","be",3440,"have",1279,"i",599,13166
"45","get","a",3277,"to",2504,"the",2178,36979
"46","know","what",2757,"that",2325,"how",1634,27097
"47","edu11","but",1,"has",1,"in",1,4
"48","but","i",9252,"the",3514,"it",3318,69149
"49","what","i",4206,"you",3059,"is",2942,45059
"50","about","the",5635,"it",2623,"to",1881,41954
"51","when","i",7666,"you",4541,"the",2634,38354
"52","you're","not",584,"a",560,"welcome",455,8997
"53","18","months",59,"years",46,"and",44,1245
"54","and","the",15622,"i",14450,"a",7056,319707
"55","he's","a",373,"not",234,"the",138,3840
"56","i","have",15902,"was",15315,"am",14367,301034
"57","believe","that",869,"in",625,"it",422,4880
"58","that","i",9966,"the",6976,"is",5748,140442
"59","someday","i",29,"you",26,"will",19,321
"60","he'll","be",112,"get",21,"have",15,400
"61","follow","me",2537,"back",921,"the",357,9770
"62","me","to",4024,"and",2880,"i",2415,61350
"63","back","to",4686,"in",1852,"and",1094,20354
"64","neversaynever","3",10,"right",10,"if",6,48
"65","3","4",298,"days",246,"of",242,10991
"66","congratulations","to",289,"on",138,"and",28,829
"67","matt","hunter",27,"and",25,"kemp",25,569
"68","vinc","having",1,"named",1,"stephen",1,3
"69","stephen","king",38,"colbert",13,"lawrence",12,321
"70","keogh","if",1,"vinc",1,NA,NA,2
"71","named","after",86,"the",50,"for",29,1059
"72","nll","championship",2,"commissioner",1,"defensive",1,6
"73","defensive","end",16,"tackle",12,"player",10,234
"74","player","in",97,"and",61,"of",59,1075
"75","the","same",6998,"first",6717,"best",6359,588146
"76","week","i",571,"and",557,"of",352,9431
"77","earns","the",8,"his",2,"its",2,39
"78","rookie","of",20,"season",7,"year",6,162
"79","been","a",2007,"in",607,"to",504,25056
"80","working","on",1565,"with",527,"in",274,5635
"81","on","the",25587,"a",6917,"my",5684,112190
"82","new","york",1741,"year",828,"followers",309,25660
"83","by","the",7036,"a",2073,"my",534,37876
"84","script","and",19,"is",19,"for",16,317
"85","hopefully","i",103,"the",100,"it",74,1568
"86","turns","out",441,"into",73,"to",61,1042
"87","out","of",8189,"the",2809,"to",2560,43365
"88","dr","seuss",41,"who",30,"pepper",28,1388
"89","pepper","and",79,"to",36,"spray",22,493
"90","my","life",2839,"favorite",1913,"own",1688,113280
"91","cousin","is",28,"and",23,"of",13,415
"92","never","been",598,"be",457,"know",349,13246
"93","gonna","be",1180,"get",262,"go",207,4681
"94","wanna","go",373,"be",301,"see",198,2930
"95","go","to",4397,"back",923,"on",802,22197
"96","with","the",13154,"a",9993,"my",4071,94213
"97","again","and",595,"i",563,"for",251,7916
"98","smh","i",44,"lol",21,"at",17,371
"99","blame","the",75,"for",42,"it",42,589
"100","used","to",2331,"the",335,"in",328,6401
"101","work","on",896,"and",808,"with",758,14788
"102","man","who",543,"i",517,"and",317,8624
"103","tequila","and",10,"shots",10,"in",8,140
"104","jalisco","and",1,"he",1,"they",1,3
"105","he","was",4520,"is",3222,"has",1821,43753
"106","didn't","know",571,"have",483,"get",409,6489
"107","wish","i",1714,"you",417,"to",239,4683
"108","was","a",7788,"the",3775,"in",1760,81963
"109","going","to",11944,"on",1524,"through",383,19045
"110","somewhere","in",166,"else",84,"between",61,1045
"111","abs","cbn",7,"and",5,"are",4,85
"112","are","you",5499,"the",2968,"not",2167,71925
"113","tits","and",9,"on",5,"i",3,55
"114","there","is",5817,"are",4695,"was",2626,29611
"115","many","of",1242,"people",832,"times",508,12177
"116","reasons","why",139,"for",109,"i",96,960
"117","see","you",2940,"the",2359,"what",1088,23055
"118","gators","and",2,"are",2,"beat",2,32
"119","well","as",1699,"i",1237,"and",447,16745
"120","this","is",9478,"week",2790,"year",2530,84439
"121","season","of",169,"and",164,"is",154,3396
"122","one","of",9770,"day",1233,"is",876,41351
"123","reason","to",379,"i",365,"for",272,2860
"124","s","o",561,"and",167,"new",80,4947
"125","health","care",287,"and",225,"insurance",85,2085
"126","dude","i",139,"is",55,"you",54,1526
"127","needs","to",1381,"a",319,"of",100,3217
"128","some1","else",2,"has",2,"say",2,48
"129","2","weeks",342,"3",340,"of",301,15132
"130","naps","are",7,"and",4,"during",4,76
"131","during","the",1821,"a",313,"my",190,4475
"132","day","of",1299,"to",1201,"i",1148,24501
"133","up","to",3713,"with",2809,"and",2741,43065
"134","all","the",8496,"of",4605,"i",1546,53045
"135","they're","not",186,"all",107,"going",66,2507
"136","not","a",3090,"to",2468,"the",2221,60878
"137","part","of",3974,"in",254,"is",165,6411
"138","solution","to",115,"for",46,"is",30,506
"139","then","i",1792,"the",793,"you",683,18844
"140","must","be",1610,"have",724,"say",121,5697
"141","talk","about",1356,"to",1236,"with",124,4763
"142","epic","fail",30,"and",12,"fantasy",11,466
"143","dear","friend",98,"friends",60,"god",39,1574
